model,method,k,init,lr,difficulty,seed,acc
eflm,ta,,,1e-3,hard,1,30.599999999999998
eflm,ta,,,1e-3,hard,2,24.65
eflm,ta,,,1e-3,hard,3,36.199999999999996
eflm,ta,,,1e-3,medium,1,73.6
eflm,ta,,,1e-3,medium,2,75.64999999999999
eflm,ta,,,1e-3,medium,3,76.6
eflm,ta,,,3e-4,hard,1,41.9
eflm,ta,,,3e-4,hard,2,45.300000000000004
eflm,ta,,,3e-4,hard,3,42.4
eflm,ta,,,3e-4,medium,1,79.0
eflm,ta,,,3e-4,medium,2,85.1
eflm,ta,,,3e-4,medium,3,80.10000000000001
eflm,ta,,,5e-4,hard,1,38.25
eflm,ta,,,5e-4,hard,2,47.3
eflm,ta,,,5e-4,hard,3,33.2
eflm,ta,,,5e-4,medium,1,75.75
eflm,ta,,,5e-4,medium,2,81.6
eflm,ta,,,5e-4,medium,3,80.80000000000001
eflm,to,,,1e-3,hard,1,15.049999999999999
eflm,to,,,1e-3,hard,2,15.55
eflm,to,,,1e-3,hard,3,14.7
eflm,to,,,1e-3,medium,1,50.7
eflm,to,,,1e-3,medium,2,61.95
eflm,to,,,1e-3,medium,3,53.55
eflm,to,,,3e-4,hard,1,26.150000000000002
eflm,to,,,3e-4,hard,2,25.3
eflm,to,,,3e-4,hard,3,23.549999999999997
eflm,to,,,3e-4,medium,1,68.45
eflm,to,,,3e-4,medium,2,72.7
eflm,to,,,3e-4,medium,3,70.85000000000001
eflm,to,,,5e-4,hard,1,15.5
eflm,to,,,5e-4,hard,2,28.050000000000004
eflm,to,,,5e-4,hard,3,19.7
eflm,to,,,5e-4,medium,1,63.55
eflm,to,,,5e-4,medium,2,66.95
eflm,to,,,5e-4,medium,3,66.05
hflm,ta,-0.25,c0.01,1e-3,hard,1,44.05
hflm,ta,-0.25,c0.01,1e-3,hard,2,46.45
hflm,ta,-0.25,c0.01,1e-3,hard,3,45.2
hflm,ta,-0.25,c0.01,1e-3,medium,1,75.4
hflm,ta,-0.25,c0.01,1e-3,medium,2,65.2
hflm,ta,-0.25,c0.01,1e-3,medium,3,81.0
hflm,ta,-0.25,c0.01,3e-4,hard,1,49.6
hflm,ta,-0.25,c0.01,3e-4,hard,2,35.05
hflm,ta,-0.25,c0.01,3e-4,hard,3,30.7
hflm,ta,-0.25,c0.01,3e-4,medium,1,81.2
hflm,ta,-0.25,c0.01,3e-4,medium,2,79.9
hflm,ta,-0.25,c0.01,3e-4,medium,3,79.60000000000001
hflm,ta,-0.25,c0.01,5e-4,hard,1,48.6
hflm,ta,-0.25,c0.01,5e-4,hard,2,36.3
hflm,ta,-0.25,c0.01,5e-4,hard,3,41.15
hflm,ta,-0.25,c0.01,5e-4,medium,1,84.8
hflm,ta,-0.25,c0.01,5e-4,medium,2,83.1
hflm,ta,-0.25,c0.01,5e-4,medium,3,87.05000000000001
hflm,ta,-0.25,c0.04,1e-3,hard,1,26.3
hflm,ta,-0.25,c0.04,1e-3,hard,2,33.900000000000006
hflm,ta,-0.25,c0.04,1e-3,hard,3,36.199999999999996
hflm,ta,-0.25,c0.04,1e-3,medium,1,79.35
hflm,ta,-0.25,c0.04,1e-3,medium,2,67.80000000000001
hflm,ta,-0.25,c0.04,1e-3,medium,3,82.69999999999999
hflm,ta,-0.25,c0.04,3e-4,hard,1,30.85
hflm,ta,-0.25,c0.04,3e-4,hard,2,25.95
hflm,ta,-0.25,c0.04,3e-4,hard,3,46.25
hflm,ta,-0.25,c0.04,3e-4,medium,1,81.55
hflm,ta,-0.25,c0.04,3e-4,medium,2,73.7
hflm,ta,-0.25,c0.04,3e-4,medium,3,79.3
hflm,ta,-0.25,c0.04,5e-4,hard,1,36.25
hflm,ta,-0.25,c0.04,5e-4,hard,2,30.8
hflm,ta,-0.25,c0.04,5e-4,hard,3,43.45
hflm,ta,-0.25,c0.04,5e-4,medium,1,85.85000000000001
hflm,ta,-0.25,c0.04,5e-4,medium,2,76.35
hflm,ta,-0.25,c0.04,5e-4,medium,3,81.39999999999999
hflm,ta,-0.25,random,1e-3,hard,1,41.349999999999994
hflm,ta,-0.25,random,1e-3,hard,2,41.55
hflm,ta,-0.25,random,1e-3,hard,3,25.7
hflm,ta,-0.25,random,1e-3,medium,1,82.39999999999999
hflm,ta,-0.25,random,1e-3,medium,2,70.7
hflm,ta,-0.25,random,1e-3,medium,3,74.55000000000001
hflm,ta,-0.25,random,3e-4,hard,1,32.75
hflm,ta,-0.25,random,3e-4,hard,2,22.55
hflm,ta,-0.25,random,3e-4,hard,3,49.35
hflm,ta,-0.25,random,3e-4,medium,1,74.15
hflm,ta,-0.25,random,3e-4,medium,2,77.14999999999999
hflm,ta,-0.25,random,3e-4,medium,3,78.8
hflm,ta,-0.25,random,5e-4,hard,1,35.699999999999996
hflm,ta,-0.25,random,5e-4,hard,2,53.949999999999996
hflm,ta,-0.25,random,5e-4,hard,3,33.6
hflm,ta,-0.25,random,5e-4,medium,1,77.14999999999999
hflm,ta,-0.25,random,5e-4,medium,2,83.89999999999999
hflm,ta,-0.25,random,5e-4,medium,3,84.3
hflm,ta,-0.3,c0.01,1e-3,hard,1,36.15
hflm,ta,-0.3,c0.01,1e-3,hard,2,31.75
hflm,ta,-0.3,c0.01,1e-3,hard,3,39.050000000000004
hflm,ta,-0.3,c0.01,1e-3,medium,1,71.2
hflm,ta,-0.3,c0.01,1e-3,medium,2,80.5
hflm,ta,-0.3,c0.01,1e-3,medium,3,72.75
hflm,ta,-0.3,c0.01,3e-4,hard,1,37.6
hflm,ta,-0.3,c0.01,3e-4,hard,2,37.25
hflm,ta,-0.3,c0.01,3e-4,hard,3,30.349999999999998
hflm,ta,-0.3,c0.01,3e-4,medium,1,73.75
hflm,ta,-0.3,c0.01,3e-4,medium,2,78.60000000000001
hflm,ta,-0.3,c0.01,3e-4,medium,3,70.89999999999999
hflm,ta,-0.3,c0.01,5e-4,hard,1,49.55
hflm,ta,-0.3,c0.01,5e-4,hard,2,38.15
hflm,ta,-0.3,c0.01,5e-4,hard,3,35.9
hflm,ta,-0.3,c0.01,5e-4,medium,1,81.5
hflm,ta,-0.3,c0.01,5e-4,medium,2,81.95
hflm,ta,-0.3,c0.01,5e-4,medium,3,79.35
hflm,ta,-0.3,c0.04,1e-3,hard,1,55.2
hflm,ta,-0.3,c0.04,1e-3,hard,2,42.65
hflm,ta,-0.3,c0.04,1e-3,hard,3,42.5
hflm,ta,-0.3,c0.04,1e-3,medium,1,78.95
hflm,ta,-0.3,c0.04,1e-3,medium,2,74.6
hflm,ta,-0.3,c0.04,1e-3,medium,3,83.45
hflm,ta,-0.3,c0.04,3e-4,hard,1,56.49999999999999
hflm,ta,-0.3,c0.04,3e-4,hard,2,26.55
hflm,ta,-0.3,c0.04,3e-4,hard,3,38.65
hflm,ta,-0.3,c0.04,3e-4,medium,1,84.35000000000001
hflm,ta,-0.3,c0.04,3e-4,medium,2,76.6
hflm,ta,-0.3,c0.04,3e-4,medium,3,84.39999999999999
hflm,ta,-0.3,c0.04,5e-4,hard,1,26.450000000000003
hflm,ta,-0.3,c0.04,5e-4,hard,2,40.400000000000006
hflm,ta,-0.3,c0.04,5e-4,hard,3,38.1
hflm,ta,-0.3,c0.04,5e-4,medium,1,82.19999999999999
hflm,ta,-0.3,c0.04,5e-4,medium,2,75.94999999999999
hflm,ta,-0.3,c0.04,5e-4,medium,3,74.55000000000001
hflm,ta,-0.3,random,1e-3,hard,1,38.05
hflm,ta,-0.3,random,1e-3,hard,2,38.35
hflm,ta,-0.3,random,1e-3,hard,3,46.75
hflm,ta,-0.3,random,1e-3,medium,1,78.0
hflm,ta,-0.3,random,1e-3,medium,2,76.4
hflm,ta,-0.3,random,1e-3,medium,3,75.75
hflm,ta,-0.3,random,3e-4,hard,1,33.2
hflm,ta,-0.3,random,3e-4,hard,2,41.449999999999996
hflm,ta,-0.3,random,3e-4,hard,3,36.05
hflm,ta,-0.3,random,3e-4,medium,1,66.25
hflm,ta,-0.3,random,3e-4,medium,2,72.65
hflm,ta,-0.3,random,3e-4,medium,3,79.2
hflm,ta,-0.3,random,5e-4,hard,1,29.45
hflm,ta,-0.3,random,5e-4,hard,2,23.25
hflm,ta,-0.3,random,5e-4,hard,3,45.45
hflm,ta,-0.3,random,5e-4,medium,1,68.45
hflm,ta,-0.3,random,5e-4,medium,2,78.9
hflm,ta,-0.3,random,5e-4,medium,3,74.8
hflm,ta,-0.5,c0.01,1e-3,hard,1,53.949999999999996
hflm,ta,-0.5,c0.01,1e-3,hard,2,43.2
hflm,ta,-0.5,c0.01,1e-3,hard,3,33.95
hflm,ta,-0.5,c0.01,1e-3,medium,1,83.75
hflm,ta,-0.5,c0.01,1e-3,medium,2,75.14999999999999
hflm,ta,-0.5,c0.01,1e-3,medium,3,75.9
hflm,ta,-0.5,c0.01,3e-4,hard,1,46.400000000000006
hflm,ta,-0.5,c0.01,3e-4,hard,2,37.4
hflm,ta,-0.5,c0.01,3e-4,hard,3,40.300000000000004
hflm,ta,-0.5,c0.01,3e-4,medium,1,69.5
hflm,ta,-0.5,c0.01,3e-4,medium,2,75.7
hflm,ta,-0.5,c0.01,3e-4,medium,3,82.15
hflm,ta,-0.5,c0.01,5e-4,hard,1,43.85
hflm,ta,-0.5,c0.01,5e-4,hard,2,30.25
hflm,ta,-0.5,c0.01,5e-4,hard,3,47.699999999999996
hflm,ta,-0.5,c0.01,5e-4,medium,1,81.25
hflm,ta,-0.5,c0.01,5e-4,medium,2,75.14999999999999
hflm,ta,-0.5,c0.01,5e-4,medium,3,80.05
hflm,ta,-0.5,c0.04,1e-3,hard,1,40.550000000000004
hflm,ta,-0.5,c0.04,1e-3,hard,2,42.699999999999996
hflm,ta,-0.5,c0.04,1e-3,hard,3,42.35
hflm,ta,-0.5,c0.04,1e-3,medium,1,67.30000000000001
hflm,ta,-0.5,c0.04,1e-3,medium,2,76.0
hflm,ta,-0.5,c0.04,1e-3,medium,3,75.0
hflm,ta,-0.5,c0.04,3e-4,hard,1,24.4
hflm,ta,-0.5,c0.04,3e-4,hard,2,42.05
hflm,ta,-0.5,c0.04,3e-4,hard,3,19.35
hflm,ta,-0.5,c0.04,3e-4,medium,1,69.69999999999999
hflm,ta,-0.5,c0.04,3e-4,medium,2,74.85000000000001
hflm,ta,-0.5,c0.04,3e-4,medium,3,82.1
hflm,ta,-0.5,c0.04,5e-4,hard,1,41.15
hflm,ta,-0.5,c0.04,5e-4,hard,2,31.55
hflm,ta,-0.5,c0.04,5e-4,hard,3,51.05
hflm,ta,-0.5,c0.04,5e-4,medium,1,73.05
hflm,ta,-0.5,c0.04,5e-4,medium,2,75.05
hflm,ta,-0.5,c0.04,5e-4,medium,3,70.15
hflm,ta,-0.5,random,1e-3,hard,1,36.6
hflm,ta,-0.5,random,1e-3,hard,2,28.15
hflm,ta,-0.5,random,1e-3,hard,3,35.8
hflm,ta,-0.5,random,1e-3,medium,1,85.55
hflm,ta,-0.5,random,1e-3,medium,2,73.5
hflm,ta,-0.5,random,1e-3,medium,3,77.5
hflm,ta,-0.5,random,3e-4,hard,1,35.099999999999994
hflm,ta,-0.5,random,3e-4,hard,2,36.0
hflm,ta,-0.5,random,3e-4,hard,3,37.4
hflm,ta,-0.5,random,3e-4,medium,1,74.15
hflm,ta,-0.5,random,3e-4,medium,2,76.64999999999999
hflm,ta,-0.5,random,3e-4,medium,3,77.45
hflm,ta,-0.5,random,5e-4,hard,1,26.150000000000002
hflm,ta,-0.5,random,5e-4,hard,2,20.0
hflm,ta,-0.5,random,5e-4,hard,3,35.3
hflm,ta,-0.5,random,5e-4,medium,1,72.35000000000001
hflm,ta,-0.5,random,5e-4,medium,2,80.55
hflm,ta,-0.5,random,5e-4,medium,3,71.5
hflm,ta,-0.7,c0.01,1e-3,hard,1,32.35
hflm,ta,-0.7,c0.01,1e-3,hard,2,39.7
hflm,ta,-0.7,c0.01,1e-3,hard,3,48.55
hflm,ta,-0.7,c0.01,1e-3,medium,1,78.95
hflm,ta,-0.7,c0.01,1e-3,medium,2,79.4
hflm,ta,-0.7,c0.01,1e-3,medium,3,73.75
hflm,ta,-0.7,c0.01,3e-4,hard,1,35.75
hflm,ta,-0.7,c0.01,3e-4,hard,2,30.95
hflm,ta,-0.7,c0.01,3e-4,hard,3,25.900000000000002
hflm,ta,-0.7,c0.01,3e-4,medium,1,75.85
hflm,ta,-0.7,c0.01,3e-4,medium,2,73.0
hflm,ta,-0.7,c0.01,3e-4,medium,3,80.35
hflm,ta,-0.7,c0.01,5e-4,hard,1,39.300000000000004
hflm,ta,-0.7,c0.01,5e-4,hard,2,40.9
hflm,ta,-0.7,c0.01,5e-4,hard,3,34.0
hflm,ta,-0.7,c0.01,5e-4,medium,1,76.25
hflm,ta,-0.7,c0.01,5e-4,medium,2,68.45
hflm,ta,-0.7,c0.01,5e-4,medium,3,82.85
hflm,ta,-0.7,c0.04,1e-3,hard,1,14.899999999999999
hflm,ta,-0.7,c0.04,1e-3,hard,2,39.7
hflm,ta,-0.7,c0.04,1e-3,hard,3,44.2
hflm,ta,-0.7,c0.04,1e-3,medium,1,76.9
hflm,ta,-0.7,c0.04,1e-3,medium,2,70.8
hflm,ta,-0.7,c0.04,1e-3,medium,3,84.05
hflm,ta,-0.7,c0.04,3e-4,hard,1,28.749999999999996
hflm,ta,-0.7,c0.04,3e-4,hard,2,30.9
hflm,ta,-0.7,c0.04,3e-4,hard,3,25.2
hflm,ta,-0.7,c0.04,3e-4,medium,1,72.45
hflm,ta,-0.7,c0.04,3e-4,medium,2,68.75
hflm,ta,-0.7,c0.04,3e-4,medium,3,65.45
hflm,ta,-0.7,c0.04,5e-4,hard,1,42.3
hflm,ta,-0.7,c0.04,5e-4,hard,2,34.55
hflm,ta,-0.7,c0.04,5e-4,hard,3,44.85
hflm,ta,-0.7,c0.04,5e-4,medium,1,75.64999999999999
hflm,ta,-0.7,c0.04,5e-4,medium,2,65.8
hflm,ta,-0.7,c0.04,5e-4,medium,3,84.35000000000001
hflm,ta,-0.7,random,1e-3,hard,1,36.95
hflm,ta,-0.7,random,1e-3,hard,2,34.949999999999996
hflm,ta,-0.7,random,1e-3,hard,3,43.3
hflm,ta,-0.7,random,1e-3,medium,1,79.3
hflm,ta,-0.7,random,1e-3,medium,2,77.5
hflm,ta,-0.7,random,1e-3,medium,3,83.89999999999999
hflm,ta,-0.7,random,3e-4,hard,1,34.449999999999996
hflm,ta,-0.7,random,3e-4,hard,2,33.2
hflm,ta,-0.7,random,3e-4,hard,3,33.25
hflm,ta,-0.7,random,3e-4,medium,1,73.5
hflm,ta,-0.7,random,3e-4,medium,2,69.25
hflm,ta,-0.7,random,3e-4,medium,3,72.5
hflm,ta,-0.7,random,5e-4,hard,1,34.55
hflm,ta,-0.7,random,5e-4,hard,2,31.8
hflm,ta,-0.7,random,5e-4,hard,3,37.25
hflm,ta,-0.7,random,5e-4,medium,1,61.8
hflm,ta,-0.7,random,5e-4,medium,2,71.0
hflm,ta,-0.7,random,5e-4,medium,3,73.1
hflm,ta,-1.0,c0.01,1e-3,hard,1,43.75
hflm,ta,-1.0,c0.01,1e-3,hard,2,29.049999999999997
hflm,ta,-1.0,c0.01,1e-3,hard,3,31.25
hflm,ta,-1.0,c0.01,1e-3,medium,1,61.0
hflm,ta,-1.0,c0.01,1e-3,medium,2,43.15
hflm,ta,-1.0,c0.01,1e-3,medium,3,80.0
hflm,ta,-1.0,c0.01,3e-4,hard,1,37.45
hflm,ta,-1.0,c0.01,3e-4,hard,2,18.35
hflm,ta,-1.0,c0.01,3e-4,hard,3,29.75
hflm,ta,-1.0,c0.01,3e-4,medium,1,79.9
hflm,ta,-1.0,c0.01,3e-4,medium,2,76.14999999999999
hflm,ta,-1.0,c0.01,3e-4,medium,3,73.45
hflm,ta,-1.0,c0.01,5e-4,hard,1,32.800000000000004
hflm,ta,-1.0,c0.01,5e-4,hard,2,41.349999999999994
hflm,ta,-1.0,c0.01,5e-4,hard,3,42.4
hflm,ta,-1.0,c0.01,5e-4,medium,1,67.85
hflm,ta,-1.0,c0.01,5e-4,medium,2,70.75
hflm,ta,-1.0,c0.01,5e-4,medium,3,75.5
hflm,ta,-1.0,c0.04,1e-3,hard,1,27.400000000000002
hflm,ta,-1.0,c0.04,1e-3,hard,2,29.099999999999998
hflm,ta,-1.0,c0.04,1e-3,hard,3,44.05
hflm,ta,-1.0,c0.04,1e-3,medium,1,73.6
hflm,ta,-1.0,c0.04,1e-3,medium,2,62.2
hflm,ta,-1.0,c0.04,1e-3,medium,3,69.65
hflm,ta,-1.0,c0.04,3e-4,hard,1,23.849999999999998
hflm,ta,-1.0,c0.04,3e-4,hard,2,38.25
hflm,ta,-1.0,c0.04,3e-4,hard,3,29.099999999999998
hflm,ta,-1.0,c0.04,3e-4,medium,1,78.35
hflm,ta,-1.0,c0.04,3e-4,medium,2,69.0
hflm,ta,-1.0,c0.04,3e-4,medium,3,75.2
hflm,ta,-1.0,c0.04,5e-4,hard,1,27.750000000000004
hflm,ta,-1.0,c0.04,5e-4,hard,2,35.6
hflm,ta,-1.0,c0.04,5e-4,hard,3,28.95
hflm,ta,-1.0,c0.04,5e-4,medium,1,72.6
hflm,ta,-1.0,c0.04,5e-4,medium,2,75.3
hflm,ta,-1.0,c0.04,5e-4,medium,3,69.3
hflm,ta,-1.0,random,1e-3,hard,1,27.800000000000004
hflm,ta,-1.0,random,1e-3,hard,2,40.25
