model,method,K,init,lr,med_mean,med_std,hard_mean,hard_std,n_seeds
eflm,to,—,ngpt,3e-4,70.7,2.1,25.0,1.3,3
eflm,to,—,ngpt,5e-4,65.5,1.8,21.1,6.4,3
eflm,to,—,ngpt,1e-3,55.4,5.8,15.1,0.4,3
eflm,ta,—,ngpt,3e-4,81.4,3.3,43.2,1.8,3
eflm,ta,—,ngpt,5e-4,79.4,3.2,39.6,7.1,3
eflm,ta,—,ngpt,1e-3,75.3,1.5,30.5,5.8,3
hflm,to,-0.25,c0.01,3e-4,79.2,2.9,31.6,5.5,3
hflm,to,-0.25,c0.01,5e-4,75.3,1.3,37.1,3.1,3
hflm,to,-0.25,c0.01,1e-3,74.0,8.7,29.3,9.8,3
hflm,to,-0.25,random,3e-4,70.8,9.3,32.7,11.4,3
hflm,to,-0.25,random,5e-4,71.7,6.2,31.5,4.3,3
hflm,to,-0.25,random,1e-3,75.4,3.5,25.8,9.2,3
hflm,to,-0.25,c0.04,3e-4,72.4,5.1,35.2,4.7,3
hflm,to,-0.25,c0.04,5e-4,80.1,5.2,36.2,3.1,3
hflm,to,-0.25,c0.04,1e-3,75.0,12.2,32.6,9.5,3
hflm,to,-0.3,c0.01,3e-4,73.8,1.2,29.4,3.0,3
hflm,to,-0.3,c0.01,5e-4,76.7,3.6,37.5,9.3,3
hflm,to,-0.3,c0.01,1e-3,78.8,2.6,31.4,7.1,3
hflm,to,-0.3,random,3e-4,73.0,12.1,31.5,5.4,3
hflm,to,-0.3,random,5e-4,75.8,9.7,35.6,1.4,3
hflm,to,-0.3,random,1e-3,71.0,6.9,36.7,8.1,3
hflm,to,-0.3,c0.04,3e-4,81.0,5.8,35.7,9.0,3
hflm,to,-0.3,c0.04,5e-4,79.3,6.8,32.8,4.9,3
hflm,to,-0.3,c0.04,1e-3,79.1,6.1,38.6,3.0,3
hflm,to,-0.5,c0.01,3e-4,76.8,5.4,40.5,5.1,3
hflm,to,-0.5,c0.01,5e-4,71.9,2.4,38.0,14.3,3
hflm,to,-0.5,c0.01,1e-3,79.0,3.2,41.5,9.2,3
hflm,to,-0.5,random,3e-4,77.1,0.8,37.0,1.5,3
hflm,to,-0.5,random,5e-4,74.2,4.6,29.1,6.6,3
hflm,to,-0.5,random,1e-3,77.4,7.7,37.4,6.0,3
hflm,to,-0.5,c0.04,3e-4,73.9,7.2,28.6,8.2,3
hflm,to,-0.5,c0.04,5e-4,70.0,5.6,40.6,9.2,3
hflm,to,-0.5,c0.04,1e-3,75.4,5.2,35.0,9.8,3
hflm,to,-0.7,c0.01,3e-4,72.8,1.3,37.3,8.3,3
hflm,to,-0.7,c0.01,5e-4,74.5,3.7,29.6,7.3,3
hflm,to,-0.7,c0.01,1e-3,75.4,4.7,39.5,9.6,3
hflm,to,-0.7,random,3e-4,69.0,11.0,31.7,3.6,3
hflm,to,-0.7,random,5e-4,70.8,6.7,28.8,6.5,3
hflm,to,-0.7,random,1e-3,78.3,5.1,29.7,4.2,3
hflm,to,-0.7,c0.04,3e-4,69.4,1.8,34.6,3.8,3
hflm,to,-0.7,c0.04,5e-4,73.2,8.1,27.4,8.0,3
hflm,to,-0.7,c0.04,1e-3,72.0,3.7,34.2,7.5,3
hflm,to,-1.0,c0.01,3e-4,69.9,4.1,24.4,2.5,3
hflm,to,-1.0,c0.01,5e-4,63.4,2.9,35.8,6.5,3
hflm,to,-1.0,c0.01,1e-3,58.9,19.1,29.2,11.7,3
hflm,to,-1.0,random,3e-4,73.2,2.7,23.2,7.7,3
hflm,to,-1.0,random,5e-4,73.6,5.6,17.3,2.8,3
hflm,to,-1.0,random,1e-3,62.5,5.7,23.4,7.5,3
hflm,to,-1.0,c0.04,3e-4,66.0,5.4,24.9,5.8,3
hflm,to,-1.0,c0.04,5e-4,72.6,2.2,29.3,6.3,3
hflm,to,-1.0,c0.04,1e-3,64.7,11.2,21.8,10.3,3
hflm,ta,-0.25,c0.01,3e-4,80.2,0.9,38.5,9.9,3
hflm,ta,-0.25,c0.01,5e-4,85.0,2.0,42.0,6.2,3
hflm,ta,-0.25,c0.01,1e-3,73.9,8.0,45.2,1.2,3
hflm,ta,-0.25,random,3e-4,76.7,2.4,34.9,13.5,3
hflm,ta,-0.25,random,5e-4,81.8,4.0,41.1,11.2,3
hflm,ta,-0.25,random,1e-3,75.9,6.0,36.2,9.1,3
hflm,ta,-0.25,c0.04,3e-4,78.2,4.0,34.4,10.6,3
hflm,ta,-0.25,c0.04,5e-4,81.2,4.8,36.8,6.3,3
hflm,ta,-0.25,c0.04,1e-3,76.6,7.8,32.1,5.2,3
hflm,ta,-0.3,c0.01,3e-4,74.4,3.9,35.1,4.1,3
hflm,ta,-0.3,c0.01,5e-4,80.9,1.4,41.2,7.3,3
hflm,ta,-0.3,c0.01,1e-3,74.8,5.0,35.6,3.7,3
hflm,ta,-0.3,random,3e-4,72.7,6.5,36.9,4.2,3
hflm,ta,-0.3,random,5e-4,74.0,5.3,32.7,11.5,3
hflm,ta,-0.3,random,1e-3,76.7,1.2,41.0,4.9,3
hflm,ta,-0.3,c0.04,3e-4,81.8,4.5,40.6,15.1,3
hflm,ta,-0.3,c0.04,5e-4,77.6,4.1,35.0,7.5,3
hflm,ta,-0.3,c0.04,1e-3,79.0,4.4,46.8,7.3,3
hflm,ta,-0.5,c0.01,3e-4,75.8,6.3,41.4,4.6,3
hflm,ta,-0.5,c0.01,5e-4,78.8,3.2,40.6,9.2,3
hflm,ta,-0.5,c0.01,1e-3,78.3,4.8,43.7,10.0,3
hflm,ta,-0.5,random,3e-4,76.1,1.7,36.2,1.2,3
hflm,ta,-0.5,random,5e-4,74.8,5.0,27.1,7.7,3
hflm,ta,-0.5,random,1e-3,78.8,6.1,33.5,4.7,3
hflm,ta,-0.5,c0.04,3e-4,75.5,6.2,28.6,11.9,3
hflm,ta,-0.5,c0.04,5e-4,72.8,2.5,41.2,9.8,3
hflm,ta,-0.5,c0.04,1e-3,72.8,4.8,41.9,1.2,3
hflm,ta,-0.7,c0.01,3e-4,76.4,3.7,30.9,4.9,3
hflm,ta,-0.7,c0.01,5e-4,75.8,7.2,38.1,3.6,3
hflm,ta,-0.7,c0.01,1e-3,77.4,3.1,40.2,8.1,3
hflm,ta,-0.7,random,3e-4,71.8,2.2,33.6,0.7,3
hflm,ta,-0.7,random,5e-4,68.6,6.0,34.5,2.7,3
hflm,ta,-0.7,random,1e-3,80.2,3.3,38.4,4.4,3
hflm,ta,-0.7,c0.04,3e-4,68.9,3.5,28.3,2.9,3
hflm,ta,-0.7,c0.04,5e-4,75.3,9.3,40.6,5.4,3
hflm,ta,-0.7,c0.04,1e-3,77.2,6.6,32.9,15.8,3
hflm,ta,-1.0,c0.01,3e-4,76.5,3.2,28.5,9.6,3
hflm,ta,-1.0,c0.01,5e-4,71.4,3.9,38.9,5.3,3
hflm,ta,-1.0,c0.01,1e-3,61.4,18.4,34.7,7.9,3
hflm,ta,-1.0,random,3e-4,68.7,5.3,32.0,3.8,3
hflm,ta,-1.0,random,5e-4,75.3,1.8,28.6,4.5,3
hflm,ta,-1.0,random,1e-3,70.1,3.8,34.6,6.3,3
hflm,ta,-1.0,c0.04,3e-4,74.2,4.8,30.4,7.3,3
hflm,ta,-1.0,c0.04,5e-4,72.4,3.0,30.8,4.2,3
hflm,ta,-1.0,c0.04,1e-3,68.5,5.8,33.5,9.2,3
