diff,k,init,lr,seed,accuracy
medium,-1.5,c0.02,1e-3,3,0.738
medium,-1.5,c0.02,1e-4,1,0.6515
medium,-1.5,c0.02,1e-4,2,0.5415
medium,-1.5,c0.02,1e-4,3,0.702
medium,-1.5,c0.02,3e-4,1,0.655
medium,-1.5,c0.02,3e-4,2,0.7285
medium,-1.5,c0.02,3e-4,3,0.704
medium,-1.5,c0.02,5e-4,1,0.7315
medium,-1.5,c0.02,5e-4,2,0.7895
medium,-1.5,c0.02,5e-4,3,0.6565
medium,-1.5,c0.04,1e-3,1,0.743
medium,-1.5,c0.04,1e-3,2,0.765
medium,-1.5,c0.04,1e-3,3,0.751
medium,-1.5,c0.04,1e-4,1,0.6485
medium,-1.5,c0.04,1e-4,2,0.522
medium,-1.5,c0.04,1e-4,3,0.666
medium,-1.5,c0.04,3e-4,1,0.613
medium,-1.5,c0.04,3e-4,2,0.752
medium,-1.5,c0.04,3e-4,3,0.6985
medium,-1.5,c0.04,5e-4,1,0.6595
medium,-1.5,c0.04,5e-4,2,0.7295
medium,-1.5,c0.04,5e-4,3,0.6595
medium,-1.5,c0.06,1e-3,1,0.614
medium,-1.5,c0.06,1e-3,2,0.78
medium,-1.5,c0.06,1e-3,3,0.745
medium,-1.5,c0.06,1e-4,1,0.487
medium,-1.5,c0.06,1e-4,2,0.682
medium,-1.5,c0.06,1e-4,3,0.5165
medium,-1.5,c0.06,3e-4,1,0.605
medium,-1.5,c0.06,3e-4,2,0.756
medium,-1.5,c0.06,3e-4,3,0.646
medium,-1.5,c0.06,5e-4,1,0.643
medium,-1.5,c0.06,5e-4,2,0.711
medium,-1.5,c0.06,5e-4,3,0.5665
medium,-1.5,c0.08,1e-3,1,0.7685
medium,-1.5,c0.08,1e-3,2,0.685
medium,-1.5,c0.08,1e-3,3,0.6525
medium,-1.5,c0.08,1e-4,1,0.6855
medium,-1.5,c0.08,1e-4,2,0.6785
medium,-1.5,c0.08,1e-4,3,0.4385
medium,-1.5,c0.08,3e-4,1,0.754
medium,-1.5,c0.08,3e-4,2,0.7005
medium,-1.5,c0.08,3e-4,3,0.6705
medium,-1.5,c0.08,5e-4,1,0.7815
medium,-1.5,c0.08,5e-4,2,0.769
medium,-1.5,c0.08,5e-4,3,0.579
medium,-1.5,ngpt,1e-3,1,0.6925
medium,-1.5,ngpt,1e-3,2,0.7665
medium,-1.5,ngpt,1e-3,3,0.774
medium,-1.5,ngpt,1e-4,1,0.674
medium,-1.5,ngpt,1e-4,2,0.6785
medium,-1.5,ngpt,1e-4,3,0.4505
medium,-1.5,ngpt,3e-4,1,0.703
medium,-1.5,ngpt,3e-4,2,0.7125
medium,-1.5,ngpt,3e-4,3,0.574
medium,-1.5,ngpt,5e-4,1,0.6495
medium,-1.5,ngpt,5e-4,2,0.703
medium,-1.5,ngpt,5e-4,3,0.675
medium,-1.5,random,1e-3,1,0.703
medium,-1.5,random,1e-3,2,0.7965
medium,-1.5,random,1e-3,3,0.738
medium,-1.5,random,1e-4,1,0.6075
medium,-1.5,random,1e-4,2,0.5285
medium,-1.5,random,1e-4,3,0.5035
medium,-1.5,random,3e-4,1,0.696
medium,-1.5,random,3e-4,2,0.6075
medium,-1.5,random,3e-4,3,0.5915
medium,-1.5,random,5e-4,1,0.7315
medium,-1.5,random,5e-4,2,0.7895
medium,-1.5,random,5e-4,3,0.6395
medium,-1.0,c0.01,1e-3,1,0.5475
medium,-1.0,c0.01,1e-3,2,0.623
medium,-1.0,c0.01,1e-3,3,0.7005
medium,-1.0,c0.01,1e-4,1,0.6565
medium,-1.0,c0.01,1e-4,2,0.6445
medium,-1.0,c0.01,1e-4,3,0.699
medium,-1.0,c0.01,3e-4,1,0.787
medium,-1.0,c0.01,3e-4,2,0.76
medium,-1.0,c0.01,3e-4,3,0.639
medium,-1.0,c0.01,5e-4,1,0.802
medium,-1.0,c0.01,5e-4,2,0.8145
medium,-1.0,c0.01,5e-4,3,0.81
medium,-1.0,c0.02,1e-3,1,0.7035
medium,-1.0,c0.02,1e-3,2,0.729
medium,-1.0,c0.02,1e-3,3,0.7415
medium,-1.0,c0.02,1e-4,1,0.7075
medium,-1.0,c0.02,1e-4,2,0.692
medium,-1.0,c0.02,1e-4,3,0.678
medium,-1.0,c0.02,3e-4,1,0.6795
medium,-1.0,c0.02,3e-4,2,0.8115
medium,-1.0,c0.02,3e-4,3,0.7605
medium,-1.0,c0.02,5e-4,1,0.69
medium,-1.0,c0.02,5e-4,2,0.7755
medium,-1.0,c0.02,5e-4,3,0.83
medium,-1.0,c0.04,1e-3,1,0.735
medium,-1.0,c0.04,1e-3,2,0.769
medium,-1.0,c0.04,1e-3,3,0.7455
medium,-1.0,c0.04,1e-4,1,0.732
medium,-1.0,c0.04,1e-4,2,0.645
medium,-1.0,c0.04,1e-4,3,0.636
medium,-1.0,c0.04,3e-4,1,0.758
medium,-1.0,c0.04,3e-4,2,0.686
medium,-1.0,c0.04,3e-4,3,0.722
medium,-1.0,c0.04,5e-4,1,0.7575
medium,-1.0,c0.04,5e-4,2,0.719
medium,-1.0,c0.04,5e-4,3,0.748
medium,-1.0,c0.06,1e-3,1,0.7495
medium,-1.0,c0.06,1e-3,2,0.7895
medium,-1.0,c0.06,1e-3,3,0.732
medium,-1.0,c0.06,1e-4,1,0.562
medium,-1.0,c0.06,1e-4,2,0.756
medium,-1.0,c0.06,1e-4,3,0.661
medium,-1.0,c0.06,3e-4,1,0.74
medium,-1.0,c0.06,3e-4,2,0.7455
medium,-1.0,c0.06,3e-4,3,0.6975
medium,-1.0,c0.06,5e-4,1,0.673
medium,-1.0,c0.06,5e-4,2,0.7825
medium,-1.0,c0.06,5e-4,3,0.685
medium,-1.0,c0.08,1e-3,1,0.6855
medium,-1.0,c0.08,1e-3,2,0.7765
medium,-1.0,c0.08,1e-3,3,0.8045
medium,-1.0,c0.08,1e-4,1,0.673
medium,-1.0,c0.08,1e-4,2,0.6345
medium,-1.0,c0.08,1e-4,3,0.517
medium,-1.0,c0.08,3e-4,1,0.702
medium,-1.0,c0.08,3e-4,2,0.77
medium,-1.0,c0.08,3e-4,3,0.6095
medium,-1.0,c0.08,5e-4,1,0.687
medium,-1.0,c0.08,5e-4,2,0.724
medium,-1.0,c0.08,5e-4,3,0.732
medium,-1.0,ngpt,1e-3,1,0.8165
medium,-1.0,ngpt,1e-3,2,0.818
medium,-1.0,ngpt,1e-3,3,0.708
medium,-1.0,ngpt,1e-4,1,0.7085
medium,-1.0,ngpt,1e-4,2,0.744
medium,-1.0,ngpt,1e-4,3,0.625
medium,-1.0,ngpt,3e-4,1,0.767
medium,-1.0,ngpt,3e-4,2,0.8275
medium,-1.0,ngpt,3e-4,3,0.7115
medium,-1.0,ngpt,5e-4,1,0.8045
medium,-1.0,ngpt,5e-4,2,0.839
medium,-1.0,ngpt,5e-4,3,0.7
medium,-1.0,random,1e-3,1,0.644
medium,-1.0,random,1e-3,2,0.783
medium,-1.0,random,1e-3,3,0.746
medium,-1.0,random,1e-4,1,0.7
medium,-1.0,random,1e-4,2,0.629
medium,-1.0,random,1e-4,3,0.577
medium,-1.0,random,3e-4,1,0.661
medium,-1.0,random,3e-4,2,0.6545
medium,-1.0,random,3e-4,3,0.7605
medium,-1.0,random,5e-4,1,0.7185
medium,-1.0,random,5e-4,2,0.7465
medium,-1.0,random,5e-4,3,0.791
medium,-0.7,c0.01,1e-3,1,0.722
medium,-0.7,c0.01,1e-3,2,0.7125
medium,-0.7,c0.01,1e-3,3,0.761
medium,-0.7,c0.01,1e-4,1,0.793
medium,-0.7,c0.01,1e-4,2,0.624
medium,-0.7,c0.01,1e-4,3,0.6025
medium,-0.7,c0.01,3e-4,1,0.7695
medium,-0.7,c0.01,3e-4,2,0.804
medium,-0.7,c0.01,3e-4,3,0.6895
medium,-0.7,c0.01,5e-4,1,0.817
medium,-0.7,c0.01,5e-4,2,0.677
medium,-0.7,c0.01,5e-4,3,0.8215
medium,-0.7,c0.02,1e-3,1,0.8455
medium,-0.7,c0.02,1e-3,2,0.7905
medium,-0.7,c0.02,1e-3,3,0.7745
medium,-0.7,c0.02,1e-4,1,0.76
medium,-0.7,c0.02,1e-4,2,0.6635
medium,-0.7,c0.02,1e-4,3,0.6895
medium,-0.7,c0.02,3e-4,1,0.6955
medium,-0.7,c0.02,3e-4,2,0.83
medium,-0.7,c0.02,3e-4,3,0.7485
medium,-0.7,c0.02,5e-4,1,0.806
medium,-0.7,c0.02,5e-4,2,0.8245
medium,-0.7,c0.02,5e-4,3,0.8055
medium,-0.7,c0.04,1e-3,1,0.7395
medium,-0.7,c0.04,1e-3,2,0.814
medium,-0.7,c0.04,1e-3,3,0.756
medium,-0.7,c0.04,1e-4,1,0.6895
medium,-0.7,c0.04,1e-4,2,0.7265
medium,-0.7,c0.04,1e-4,3,0.6525
medium,-0.7,c0.04,3e-4,1,0.7835
medium,-0.7,c0.04,3e-4,2,0.776
medium,-0.7,c0.04,3e-4,3,0.7575
medium,-0.7,c0.04,5e-4,1,0.7515
medium,-0.7,c0.04,5e-4,2,0.8245
medium,-0.7,c0.04,5e-4,3,0.775
medium,-0.7,c0.06,1e-3,1,0.7745
medium,-0.7,c0.06,1e-3,2,0.7775
medium,-0.7,c0.06,1e-3,3,0.7595
medium,-0.7,c0.06,1e-4,1,0.6005
medium,-0.7,c0.06,1e-4,2,0.726
medium,-0.7,c0.06,1e-4,3,0.6525
medium,-0.7,c0.06,3e-4,1,0.765
medium,-0.7,c0.06,3e-4,2,0.799
medium,-0.7,c0.06,3e-4,3,0.677
medium,-0.7,c0.06,5e-4,1,0.7095
medium,-0.7,c0.06,5e-4,2,0.7925
medium,-0.7,c0.06,5e-4,3,0.732
medium,-0.7,c0.08,1e-3,1,0.7535
medium,-0.7,c0.08,1e-3,2,0.72
medium,-0.7,c0.08,1e-3,3,0.786
medium,-0.7,c0.08,1e-4,1,0.7275
medium,-0.7,c0.08,1e-4,2,0.7565
medium,-0.7,c0.08,1e-4,3,0.6155
medium,-0.7,c0.08,3e-4,1,0.783
medium,-0.7,c0.08,3e-4,2,0.7815
medium,-0.7,c0.08,3e-4,3,0.7375
medium,-0.7,c0.08,5e-4,1,0.724
medium,-0.7,c0.08,5e-4,2,0.7475
medium,-0.7,c0.08,5e-4,3,0.719
medium,-0.7,ngpt,1e-3,1,0.806
medium,-0.7,ngpt,1e-3,2,0.8045
medium,-0.7,ngpt,1e-3,3,0.6535
medium,-0.7,ngpt,1e-4,1,0.6385
medium,-0.7,ngpt,1e-4,2,0.7625
medium,-0.7,ngpt,1e-4,3,0.6895
medium,-0.7,ngpt,3e-4,1,0.7825
medium,-0.7,ngpt,3e-4,2,0.8135
medium,-0.7,ngpt,3e-4,3,0.778
medium,-0.7,ngpt,5e-4,1,0.758
medium,-0.7,ngpt,5e-4,2,0.75
medium,-0.7,ngpt,5e-4,3,0.8025
medium,-0.7,random,1e-3,1,0.8285
medium,-0.7,random,1e-3,2,0.83
medium,-0.7,random,1e-3,3,0.646
medium,-0.7,random,1e-4,1,0.672
medium,-0.7,random,1e-4,2,0.663
medium,-0.7,random,1e-4,3,0.6115
medium,-0.7,random,3e-4,1,0.8065
medium,-0.7,random,3e-4,2,0.692
medium,-0.7,random,3e-4,3,0.7485
medium,-0.7,random,5e-4,1,0.806
medium,-0.7,random,5e-4,2,0.747
medium,-0.7,random,5e-4,3,0.8055
medium,-0.5,c0.01,1e-3,1,0.724
medium,-0.5,c0.01,1e-3,2,0.776
medium,-0.5,c0.01,1e-3,3,0.7765
medium,-0.5,c0.01,1e-4,1,0.547
medium,-0.5,c0.01,1e-4,2,0.565
medium,-0.5,c0.01,1e-4,3,0.7095
medium,-0.5,c0.01,3e-4,1,0.825
medium,-0.5,c0.01,3e-4,2,0.7435
medium,-0.5,c0.01,3e-4,3,0.8635
medium,-0.5,c0.01,5e-4,1,0.8055
medium,-0.5,c0.01,5e-4,2,0.793
medium,-0.5,c0.01,5e-4,3,0.673
medium,-0.5,c0.02,1e-3,1,0.8425
medium,-0.5,c0.02,1e-3,2,0.814
medium,-0.5,c0.02,1e-3,3,0.802
medium,-0.5,c0.02,1e-4,1,0.701
medium,-0.5,c0.02,1e-4,2,0.761
medium,-0.5,c0.02,1e-4,3,0.593
medium,-0.5,c0.02,3e-4,1,0.7655
medium,-0.5,c0.02,3e-4,2,0.7685
medium,-0.5,c0.02,3e-4,3,0.786
medium,-0.5,c0.02,5e-4,1,0.7785
medium,-0.5,c0.02,5e-4,2,0.838
medium,-0.5,c0.02,5e-4,3,0.818
medium,-0.5,c0.04,1e-3,1,0.804
medium,-0.5,c0.04,1e-3,2,0.768
medium,-0.5,c0.04,1e-3,3,0.804
medium,-0.5,c0.04,1e-4,1,0.7265
medium,-0.5,c0.04,1e-4,2,0.6805
medium,-0.5,c0.04,1e-4,3,0.752
medium,-0.5,c0.04,3e-4,1,0.774
medium,-0.5,c0.04,3e-4,2,0.8045
medium,-0.5,c0.04,3e-4,3,0.7415
medium,-0.5,c0.04,5e-4,1,0.7575
medium,-0.5,c0.04,5e-4,2,0.8115
medium,-0.5,c0.04,5e-4,3,0.7605
medium,-0.5,c0.06,1e-3,1,0.7585
medium,-0.5,c0.06,1e-3,2,0.762
medium,-0.5,c0.06,1e-3,3,0.732
medium,-0.5,c0.06,1e-4,1,0.679
medium,-0.5,c0.06,1e-4,2,0.7255
medium,-0.5,c0.06,1e-4,3,0.633
medium,-0.5,c0.06,3e-4,1,0.753
medium,-0.5,c0.06,3e-4,2,0.845
medium,-0.5,c0.06,3e-4,3,0.6315
medium,-0.5,c0.06,5e-4,1,0.763
medium,-0.5,c0.06,5e-4,2,0.785
medium,-0.5,c0.06,5e-4,3,0.6725
medium,-0.5,c0.08,1e-3,1,0.8135
medium,-0.5,c0.08,1e-3,2,0.751
medium,-0.5,c0.08,1e-3,3,0.7065
medium,-0.5,c0.08,1e-4,1,0.5735
medium,-0.5,c0.08,1e-4,2,0.742
medium,-0.5,c0.08,1e-4,3,0.6985
medium,-0.5,c0.08,3e-4,1,0.7065
medium,-0.5,c0.08,3e-4,2,0.815
medium,-0.5,c0.08,3e-4,3,0.7505
medium,-0.5,c0.08,5e-4,1,0.7965
medium,-0.5,c0.08,5e-4,2,0.7565
medium,-0.5,c0.08,5e-4,3,0.7185
medium,-0.5,ngpt,1e-3,1,0.763
medium,-0.5,ngpt,1e-3,2,0.7895
medium,-0.5,ngpt,1e-3,3,0.7235
medium,-0.5,ngpt,1e-4,1,0.7065
medium,-0.5,ngpt,1e-4,2,0.7595
medium,-0.5,ngpt,1e-4,3,0.6425
medium,-0.5,ngpt,3e-4,1,0.766
medium,-0.5,ngpt,3e-4,2,0.8235
medium,-0.5,ngpt,3e-4,3,0.768
medium,-0.5,ngpt,5e-4,1,0.7375
medium,-0.5,ngpt,5e-4,2,0.74
medium,-0.5,ngpt,5e-4,3,0.7395
medium,-0.5,random,1e-3,1,0.8425
medium,-0.5,random,1e-3,2,0.808
medium,-0.5,random,1e-3,3,0.83
medium,-0.5,random,1e-4,1,0.701
medium,-0.5,random,1e-4,2,0.6645
medium,-0.5,random,1e-4,3,0.7815
medium,-0.5,random,3e-4,1,0.793
medium,-0.5,random,3e-4,2,0.852
medium,-0.5,random,3e-4,3,0.8305
medium,-0.5,random,5e-4,1,0.7805
medium,-0.5,random,5e-4,2,0.8095
medium,-0.5,random,5e-4,3,0.782
medium,-0.3,c0.01,1e-3,1,0.8285
medium,-0.3,c0.01,1e-3,2,0.8575
medium,-0.3,c0.01,1e-3,3,0.7815
medium,-0.3,c0.01,1e-4,1,0.7965
medium,-0.3,c0.01,1e-4,2,0.722
medium,-0.3,c0.01,1e-4,3,0.6985
medium,-0.3,c0.01,3e-4,1,0.823
medium,-0.3,c0.01,3e-4,2,0.8185
medium,-0.3,c0.01,3e-4,3,0.782
medium,-0.3,c0.01,5e-4,1,0.872
medium,-0.3,c0.01,5e-4,2,0.855
medium,-0.3,c0.01,5e-4,3,0.77
medium,-0.3,c0.02,1e-3,1,0.759
medium,-0.3,c0.02,1e-3,2,0.81
medium,-0.3,c0.02,1e-3,3,0.7945
medium,-0.3,c0.02,1e-4,1,0.74
medium,-0.3,c0.02,1e-4,2,0.76
medium,-0.3,c0.02,1e-4,3,0.7855
medium,-0.3,c0.02,3e-4,1,0.7735
medium,-0.3,c0.02,3e-4,2,0.867
medium,-0.3,c0.02,3e-4,3,0.8095
medium,-0.3,c0.02,5e-4,1,0.741
medium,-0.3,c0.02,5e-4,2,0.819
medium,-0.3,c0.02,5e-4,3,0.8475
medium,-0.3,c0.04,1e-3,1,0.7505
medium,-0.3,c0.04,1e-3,2,0.779
medium,-0.3,c0.04,1e-3,3,0.75
medium,-0.3,c0.04,1e-4,1,0.7065
medium,-0.3,c0.04,1e-4,2,0.71
medium,-0.3,c0.04,1e-4,3,0.6845
medium,-0.3,c0.04,3e-4,1,0.7635
medium,-0.3,c0.04,3e-4,2,0.73
medium,-0.3,c0.04,3e-4,3,0.7125
medium,-0.3,c0.04,5e-4,1,0.798
medium,-0.3,c0.04,5e-4,2,0.7635
medium,-0.3,c0.04,5e-4,3,0.8095
medium,-0.3,c0.06,1e-3,1,0.7305
medium,-0.3,c0.06,1e-3,2,0.7505
medium,-0.3,c0.06,1e-3,3,0.7775
medium,-0.3,c0.06,1e-4,1,0.715
medium,-0.3,c0.06,1e-4,2,0.7405
medium,-0.3,c0.06,1e-4,3,0.6575
medium,-0.3,c0.06,3e-4,1,0.79
medium,-0.3,c0.06,3e-4,2,0.769
medium,-0.3,c0.06,3e-4,3,0.699
medium,-0.3,c0.06,5e-4,1,0.7205
medium,-0.3,c0.06,5e-4,2,0.7345
medium,-0.3,c0.06,5e-4,3,0.7845
medium,-0.3,c0.08,1e-3,1,0.7315
medium,-0.3,c0.08,1e-3,2,0.7235
medium,-0.3,c0.08,1e-3,3,0.7825
medium,-0.3,c0.08,1e-4,1,0.742
medium,-0.3,c0.08,1e-4,2,0.7505
medium,-0.3,c0.08,1e-4,3,0.694
medium,-0.3,c0.08,3e-4,1,0.81
medium,-0.3,c0.08,3e-4,2,0.7955
medium,-0.3,c0.08,3e-4,3,0.716
medium,-0.3,c0.08,5e-4,1,0.814
medium,-0.3,c0.08,5e-4,2,0.765
medium,-0.3,c0.08,5e-4,3,0.7575
medium,-0.3,ngpt,1e-3,1,0.7895
medium,-0.3,ngpt,1e-3,2,0.74
medium,-0.3,ngpt,1e-3,3,0.727
medium,-0.3,ngpt,1e-4,1,0.746
medium,-0.3,ngpt,1e-4,2,0.7555
medium,-0.3,ngpt,1e-4,3,0.6565
medium,-0.3,ngpt,3e-4,1,0.7535
medium,-0.3,ngpt,3e-4,2,0.779
medium,-0.3,ngpt,3e-4,3,0.713
medium,-0.3,ngpt,5e-4,1,0.781
medium,-0.3,ngpt,5e-4,2,0.7975
medium,-0.3,ngpt,5e-4,3,0.7585
medium,-0.3,random,1e-3,1,0.7415
medium,-0.3,random,1e-3,2,0.8325
medium,-0.3,random,1e-3,3,0.8185
medium,-0.3,random,1e-4,1,0.74
medium,-0.3,random,1e-4,2,0.8165
medium,-0.3,random,1e-4,3,0.7905
medium,-0.3,random,3e-4,1,0.7735
medium,-0.3,random,3e-4,2,0.725
medium,-0.3,random,3e-4,3,0.8095
medium,-0.3,random,5e-4,1,0.741
medium,-0.3,random,5e-4,2,0.796
medium,-0.3,random,5e-4,3,0.814
medium,-0.25,c0.01,1e-3,1,0.839
medium,-0.25,c0.01,1e-3,2,0.784
medium,-0.25,c0.01,1e-3,3,0.8005
medium,-0.25,c0.01,1e-4,1,0.7775
medium,-0.25,c0.01,1e-4,2,0.747
medium,-0.25,c0.01,1e-4,3,0.704
medium,-0.25,c0.01,3e-4,1,0.733
medium,-0.25,c0.01,3e-4,2,0.7915
medium,-0.25,c0.01,3e-4,3,0.608
medium,-0.25,c0.01,5e-4,1,0.6915
medium,-0.25,c0.01,5e-4,2,0.782
medium,-0.25,c0.01,5e-4,3,0.8155
medium,-0.25,c0.02,1e-3,1,0.6095
medium,-0.25,c0.02,1e-3,2,0.766
medium,-0.25,c0.02,1e-3,3,0.7205
medium,-0.25,c0.02,1e-4,1,0.825
medium,-0.25,c0.02,1e-4,2,0.766
medium,-0.25,c0.02,1e-4,3,0.7785
medium,-0.25,c0.02,3e-4,1,0.738
medium,-0.25,c0.02,3e-4,2,0.714
medium,-0.25,c0.02,3e-4,3,0.823
medium,-0.25,c0.02,5e-4,1,0.7635
medium,-0.25,c0.02,5e-4,2,0.7645
medium,-0.25,c0.02,5e-4,3,0.737
medium,-0.25,c0.04,1e-3,1,0.7735
medium,-0.25,c0.04,1e-3,2,0.7355
medium,-0.25,c0.04,1e-3,3,0.6615
medium,-0.25,c0.04,1e-4,1,0.7415
medium,-0.25,c0.04,1e-4,2,0.715
medium,-0.25,c0.04,1e-4,3,0.6665
medium,-0.25,c0.04,3e-4,1,0.7275
medium,-0.25,c0.04,3e-4,2,0.7625
medium,-0.25,c0.04,3e-4,3,0.7275
medium,-0.25,c0.04,5e-4,1,0.8035
medium,-0.25,c0.04,5e-4,2,0.717
medium,-0.25,c0.04,5e-4,3,0.755
medium,-0.25,c0.06,1e-3,1,0.5815
medium,-0.25,c0.06,1e-3,2,0.7345
medium,-0.25,c0.06,1e-3,3,0.7545
medium,-0.25,c0.06,1e-4,1,0.6385
medium,-0.25,c0.06,1e-4,2,0.702
medium,-0.25,c0.06,1e-4,3,0.621
medium,-0.25,c0.06,3e-4,1,0.8125
medium,-0.25,c0.06,3e-4,2,0.7585
medium,-0.25,c0.06,3e-4,3,0.768
medium,-0.25,c0.06,5e-4,1,0.788
medium,-0.25,c0.06,5e-4,2,0.7055
medium,-0.25,c0.06,5e-4,3,0.685
medium,-0.25,c0.08,1e-3,1,0.776
medium,-0.25,c0.08,1e-3,2,0.74
medium,-0.25,c0.08,1e-3,3,0.7095
medium,-0.25,c0.08,1e-4,1,0.639
medium,-0.25,c0.08,1e-4,2,0.782
medium,-0.25,c0.08,1e-4,3,0.631
medium,-0.25,c0.08,3e-4,1,0.7675
medium,-0.25,c0.08,3e-4,2,0.7975
medium,-0.25,c0.08,3e-4,3,0.766
medium,-0.25,c0.08,5e-4,1,0.792
medium,-0.25,c0.08,5e-4,2,0.782
medium,-0.25,c0.08,5e-4,3,0.69
medium,-0.25,ngpt,1e-3,1,0.793
medium,-0.25,ngpt,1e-3,2,0.7305
medium,-0.25,ngpt,1e-3,3,0.621
medium,-0.25,ngpt,1e-4,1,0.738
medium,-0.25,ngpt,1e-4,2,0.6865
medium,-0.25,ngpt,1e-4,3,0.666
medium,-0.25,ngpt,3e-4,1,0.7055
medium,-0.25,ngpt,3e-4,2,0.781
medium,-0.25,ngpt,3e-4,3,0.8185
medium,-0.25,ngpt,5e-4,1,0.7795
medium,-0.25,ngpt,5e-4,2,0.8225
medium,-0.25,ngpt,5e-4,3,0.767
medium,-0.25,random,1e-3,1,0.705
medium,-0.25,random,1e-3,2,0.8265
medium,-0.25,random,1e-3,3,0.7205
medium,-0.25,random,1e-4,1,0.825
medium,-0.25,random,1e-4,2,0.768
medium,-0.25,random,1e-4,3,0.8015
medium,-0.25,random,3e-4,1,0.738
medium,-0.25,random,3e-4,2,0.714
medium,-0.25,random,3e-4,3,0.823
medium,-0.25,random,5e-4,1,0.7635
medium,-0.25,random,5e-4,2,0.7455
medium,-0.25,random,5e-4,3,0.687
